seed,uti,schedulable
956,2.7,True
529,2.7,True
887,3.0,True
276,2.7,True
261,3.0,True
400,2.7,True
238,2.7,True
266,3.0,True
831,3.0,True
690,3.0,True
210,2.7,True
534,3.3,True
696,3.3,True
877,2.7,True
116,3.1,True
735,2.7,True
825,3.0,True
257,3.9,False
568,3.0,True
520,3.0,True
681,3.8,False
139,3.0,True
315,2.9,True
939,2.9,True
445,2.9,True
734,3.1,True
235,3.1,True
607,2.9,True
325,2.9,True
80,2.9,True
991,2.8,True
315,2.8,True
939,2.8,True
800,2.9,True
723,3.3,True
445,2.8,True
167,3.1,True
607,2.8,True
324,2.9,True
39,3.1,True
209,2.9,True
495,3.1,True
665,2.9,True
321,2.9,True
325,2.8,True
967,2.9,True
201,3.9,False
587,2.9,True
925,2.9,True
788,2.7,True
257,3.7,False
379,2.7,True
597,3.0,True
114,3.0,True
498,2.9,True
887,2.9,True
261,2.9,True
266,2.9,True
831,2.9,True
548,3.1,True
615,2.7,True
515,3.1,True
80,2.8,True
795,2.7,True
888,2.7,True
800,2.8,True
81,2.7,True
681,3.4,True
167,3.2,True
967,2.8,True
587,2.8,True
690,2.9,True
925,2.8,True
825,2.9,True
568,2.9,True
520,2.9,True
331,3.6,False
139,2.9,True
688,3.5,False
597,2.9,True
357,3.0,True
193,2.7,True
616,2.7,True
496,2.7,True
498,2.8,True
887,2.8,True
201,3.7,False
261,2.8,True
266,2.8,True
831,2.8,True
690,2.8,True
825,2.8,True
534,3.9,False
257,3.8,False
568,2.8,True
309,2.7,True
520,2.8,True
226,2.7,True
139,2.8,True
597,2.8,True
164,3.1,True
114,2.8,True
357,2.8,True
245,2.8,True
977,3.1,True
847,3.1,True
647,2.8,True
878,2.7,True
233,3.1,True
457,3.1,True
439,2.7,True
310,3.3,False
245,3.0,True
93,2.7,True
116,3.3,True
39,3.2,True
495,3.2,True
201,3.8,False
964,2.7,True
89,2.7,True
337,2.7,True
257,3.4,True
515,3.2,True
476,2.7,True
872,2.7,True
164,3.2,True
696,3.9,False
767,2.7,True
647,3.0,True
653,2.7,True
643,2.7,True
114,2.9,True
359,2.7,True
357,2.9,True
734,3.3,True
937,2.7,True
769,2.7,True
850,2.7,True
235,3.3,True
331,3.5,False
245,2.9,True
534,3.7,False
989,3.0,True
681,3.6,False
991,3.1,True
723,3.9,False
315,3.1,True
939,3.1,True
445,3.1,True
311,3.0,True
201,3.4,True
607,3.1,True
431,3.0,True
696,3.7,True
325,3.1,True
771,3.0,True
989,2.8,False
681,3.5,True
696,3.8,False
311,2.8,True
68,3.0,True
80,3.1,True
723,3.7,True
800,3.1,True
167,3.3,True
324,3.1,True
209,3.1,True
665,3.1,True
39,3.3,True
310,3.9,False
431,2.8,True
771,2.8,True
723,3.8,False
202,3.0,True
989,2.9,False
311,2.9,True
977,3.2,True
727,3.0,True
847,3.2,True
431,2.9,True
956,3.0,True
534,3.4,True
529,3.0,True
310,3.7,False
771,2.9,True
276,3.0,True
310,3.8,False
233,3.2,True
457,3.2,True
321,3.1,True
967,3.1,True
991,3.2,True
257,3.6,False
587,3.1,True
68,2.8,True
925,3.1,True
202,2.8,True
498,3.1,True
68,2.9,True
400,3.0,True
727,2.8,True
956,2.8,True
495,3.3,True
529,2.8,True
276,2.8,True
887,3.1,True
400,2.8,True
238,3.0,True
257,3.5,False
210,3.0,True
877,3.0,True
735,3.0,True
788,3.0,True
379,3.0,True
615,3.0,True
