Seed,Uti
30,3.7
0,3.3
10,3.7
21,3.6
53,3.6
15,3.7
54,3.1
31,3.6
44,3.6
16,2.8
3,2.9
12,3.5
46,3.5
1,3.3
32,3.4
22,3.1
61,3.2
42,3.7
19,3.4
33,3.5
56,3.4
58,3.6
17,2.1
52,3.3
62,3.3
60,3.3
40,3.5
29,3.4
14,3.5
45,3.6
43,3.4
4,3.2
55,3.8
63,3.4
35,2.7
24,3.1
34,3.0
11,3.1
20,3.1
50,3.5
59,3.6
28,3.5
37,3.1
26,3.1
64,2.7
27,3.6
5,3.3
57,3.5
8,3.2
23,3.0
51,3.4
41,3.4
13,3.4
9,3.4
36,3.3
39,2.8
25,2.6
78,3.7
69,3.6
7,3.5
6,3.2
74,3.7
75,3.1
38,3.5
77,3.3
82,3.7
88,3.1
48,3.0
49,3.3
67,3.4
86,3.7
66,3.4
2,2.6
70,3.5
18,3.3
96,3.6
83,3.5
76,3.7
68,3.2
80,3.5
108,2.2
109,3.7
65,3.6
91,3.3
79,3.3
112,3.3
95,3.1
81,3.2
47,3.0
104,3.6
105,3.1
92,3.4
97,3.7
90,3.3
87,3.2
84,3.2
94,2.9
100,3.4
93,3.5
114,3.3
117,3.4
123,3.4
129,3.3
120,2.5
113,3.4
89,3.2
127,3.5
126,3.5
85,3.3
106,3.3
147,3.3
115,3.5
72,2.9
98,3.1
116,2.9
71,3.2
131,3.1
73,3.0
139,3.5
135,3.0
102,3.3
134,3.5
158,2.6
122,3.7
99,3.4
110,2.5
121,3.1
136,3.6
146,3.1
128,3.4
148,3.6
130,3.1
141,3.2
119,3.3
107,3.2
111,2.6
163,3.7
101,3.2
167,3.6
144,3.0
152,3.7
138,3.1
155,3.4
137,3.1
140,3.5
164,2.9
132,3.3
124,2.9
166,3.6
150,3.0
145,3.4
142,3.7
165,3.0
149,2.7
173,3.6
153,3.0
143,2.8
161,3.1
160,3.6
169,3.3
168,3.6
118,3.3
125,3.2
180,3.1
177,3.6
197,3.5
178,3.3
175,3.2
176,3.2
190,3.3
133,3.2
195,3.6
188,3.3
203,3.5
171,3.4
206,3.4
182,3.3
191,3.4
189,3.6
187,3.3
196,3.3
154,3.1
198,3.6
184,3.5
185,3.3
103,3.2
201,3.4
204,3.2
159,2.5
162,2.8
172,3.4
181,3.2
157,3.2
151,3.2
205,3.8
210,3.4
208,2.8
212,3.6
221,3.4
207,3.5
156,3.3
192,3.5
224,3.7
199,3.8
213,3.5
230,3.6
200,3.1
214,3.3
218,3.5
193,3.2
186,3.6
247,3.4
237,2.5
222,3.7
170,3.7
179,3.4
183,2.9
239,3.7
229,3.7
226,3.0
219,2.9
216,2.9
245,3.6
223,3.7
202,3.8
238,3.5
227,2.9
209,2.9
211,3.1
225,3.3
258,3.4
220,3.5
174,2.9
242,3.3
194,3.3
234,3.2
264,3.6
241,3.3
231,3.3
236,3.3
257,3.1
