seed,uti,schedulable
225,2.5,True
248,2.8,True
202,2.5,True
175,2.9,True
285,2.8,True
162,2.9,True
184,2.7,True
184,2.9,True
219,2.7,True
219,2.9,True
224,2.7,True
247,2.8,True
224,2.9,True
226,2.7,True
150,2.7,True
225,2.7,True
303,2.8,True
202,2.7,True
256,2.8,True
248,2.7,True
259,2.8,True
307,2.8,True
285,2.7,True
341,2.8,True
247,2.7,True
303,2.7,True
344,2.8,True
256,2.7,True
359,2.8,True
184,2.6,True
366,2.8,True
219,2.6,True
259,2.7,True
323,2.8,True
224,2.6,True
307,2.7,True
226,2.6,True
331,2.8,True
341,2.7,True
150,2.6,True
248,2.5,True
226,2.9,False
225,2.6,True
285,2.5,True
202,2.6,True
344,2.7,True
248,2.6,True
247,2.5,True
359,2.7,True
303,2.5,True
285,2.6,True
366,2.7,True
256,2.5,True
323,2.7,True
247,2.6,True
150,2.9,True
259,2.5,True
303,2.6,True
331,2.7,True
409,2.7,True
256,2.6,True
409,2.8,True
307,2.5,True
225,2.9,True
341,2.5,True
259,2.6,True
380,2.8,True
344,2.5,True
307,2.6,True
359,2.5,True
380,2.7,True
341,2.6,True
386,2.8,True
202,2.9,True
344,2.6,True
366,2.5,True
359,2.6,True
323,2.5,True
386,2.7,True
248,2.9,True
366,2.6,True
420,2.8,True
331,2.5,True
420,2.7,True
285,2.9,True
421,2.8,True
421,2.7,True
323,2.6,True
247,2.9,True
409,2.5,True
331,2.6,True
303,2.9,True
409,2.6,True
256,2.9,True
380,2.6,True
405,2.7,True
386,2.6,True
420,2.6,True
421,2.6,True
259,2.9,True
380,2.5,True
386,2.5,True
307,2.9,True
341,2.9,True
344,2.9,True
428,2.7,True
420,2.5,True
359,2.9,True
465,2.7,True
421,2.5,True
442,2.7,True
405,2.5,True
487,2.7,True
531,2.7,True
428,2.5,True
482,2.7,True
496,2.7,True
405,2.6,True
536,2.7,True
540,2.7,True
405,2.8,False
428,2.6,True
465,2.6,True
366,2.9,True
428,2.8,True
442,2.6,True
465,2.5,True
323,2.9,True
465,2.8,True
487,2.6,True
442,2.5,True
531,2.6,True
331,2.9,True
442,2.8,True
482,2.6,True
487,2.5,True
496,2.6,True
531,2.5,True
487,2.8,True
536,2.6,True
531,2.8,True
409,2.9,True
482,2.5,True
540,2.6,True
482,2.8,True
496,2.8,True
536,2.8,True
380,2.9,True
496,2.5,True
526,2.6,True
386,2.9,True
581,2.6,True
536,2.5,True
584,2.6,True
540,2.8,True
540,2.5,True
555,2.6,True
526,2.8,True
592,2.6,True
581,2.8,True
526,2.7,True
584,2.8,True
602,2.6,True
581,2.7,True
584,2.7,True
575,2.6,True
570,2.6,True
555,2.7,True
526,2.5,True
581,2.5,True
592,2.7,True
607,2.6,True
584,2.5,True
654,2.6,True
618,2.6,True
662,2.6,True
602,2.7,True
555,2.5,True
667,2.6,True
704,2.6,True
592,2.5,True
575,2.7,True
602,2.5,True
570,2.7,True
575,2.5,True
678,2.6,True
570,2.5,True
607,2.7,True
654,2.7,True
607,2.5,True
618,2.7,True
654,2.5,True
420,2.9,True
555,2.8,True
421,2.9,True
592,2.8,True
618,2.5,True
405,2.9,True
662,2.5,True
662,2.7,True
667,2.5,True
667,2.7,True
704,2.7,True
704,2.5,True
678,2.7,True
678,2.5,True
683,2.6,True
702,2.6,True
683,2.5,True
683,2.7,True
715,2.6,True
702,2.7,True
687,2.6,True
715,2.7,True
718,2.6,True
725,2.6,True
771,2.6,True
776,2.6,True
702,2.5,True
715,2.5,True
795,2.6,True
824,2.6,True
687,2.5,True
823,2.6,True
827,2.6,True
718,2.5,True
725,2.5,True
771,2.5,True
776,2.5,True
803,2.6,True
847,2.6,True
795,2.5,True
890,2.6,True
602,2.8,True
824,2.5,True
823,2.5,True
866,2.6,True
575,2.8,True
570,2.8,True
607,2.8,True
654,2.8,True
852,2.6,True
618,2.8,True
827,2.5,True
899,2.6,True
662,2.8,True
900,2.6,True
803,2.5,True
667,2.8,True
939,2.6,True
704,2.8,True
941,2.6,True
944,2.6,True
678,2.8,True
957,2.6,True
847,2.5,True
683,2.8,True
53,2.6,True
890,2.5,True
52,2.6,True
702,2.8,True
428,2.9,True
866,2.5,True
54,2.6,True
715,2.8,True
465,2.9,True
5,2.6,True
6,2.6,True
687,2.8,True
442,2.9,True
26,2.6,True
718,2.8,True
18,2.6,True
725,2.8,True
852,2.5,True
487,2.9,True
771,2.8,True
24,2.6,True
39,2.6,True
899,2.5,True
14,2.6,True
531,2.9,True
776,2.8,True
795,2.8,True
482,2.9,True
824,2.8,True
823,2.8,True
827,2.8,True
803,2.8,True
900,2.5,True
847,2.8,True
939,2.5,True
890,2.8,True
941,2.5,True
944,2.5,True
957,2.5,True
866,2.8,True
27,2.6,True
53,2.5,True
52,2.5,True
54,2.5,True
5,2.5,True
